Date,Demand,RRP,pDemand,pRRP,nDemand,nRRP,FracNegative,Minimum Temperature,Maximum Temperature,SchoolDay,Holiday
2015-04-01,122042.26500000001,26.16780585766742,122042.26500000001,26.16780585766742,0.0,0.0,0.0,13.3,29.0,N,N
2015-04-02,113838.41000000003,23.46025057579423,113838.41000000003,23.46025057579423,0.0,0.0,0.0,12.8,17.2,N,N
2015-04-03,98891.06000000001,20.93937850246524,98891.06000000001,20.93937850246524,0.0,0.0,0.0,8.0,20.9,N,Y
2015-04-04,103999.17000000001,23.18805616862134,103999.17000000001,23.18805616862134,0.0,0.0,0.0,8.5,23.5,N,Y
2015-04-05,103685.45000000004,20.508650382961147,103685.45000000004,20.508650382961147,0.0,0.0,0.0,10.2,18.5,N,N
2015-04-06,107383.37000000001,17.048552643672853,107383.37000000001,17.048552643672853,0.0,0.0,0.0,11.2,18.4,N,Y
2015-04-07,120235.505,21.359459988960836,118471.68000000001,21.37589011082875,1763.825,-0.016430121867912477,0.020833334,12.4,17.3,N,N
2015-04-08,122129.77499999997,25.208016520131967,122129.77499999997,25.208016520131967,0.0,0.0,0.0,13.3,17.7,N,N
2015-04-09,123990.76,25.20780037238259,123990.76,25.20780037238259,0.0,0.0,0.0,8.7,19.1,N,N
2015-04-10,121753.115,25.677110795892155,121753.115,25.677110795892155,0.0,0.0,0.0,8.6,18.7,N,N
2015-04-11,110034.16500000002,23.05591230596425,110034.16500000002,23.05591230596425,0.0,0.0,0.0,11.6,23.7,N,N
2015-04-12,103760.225,22.05303719079252,103760.225,22.05303719079252,0.0,0.0,0.0,12.1,18.3,N,N
2015-04-13,125107.78000000001,29.408289084020197,125107.78000000001,29.408289084020197,0.0,0.0,0.0,7.3,19.1,N,N
2015-04-14,127793.38,30.995175632337133,127793.38,30.995175632337133,0.0,0.0,0.0,10.5,24.7,Y,N
2015-04-15,126673.93499999998,31.090558481506083,126673.93499999998,31.090558481506083,0.0,0.0,0.0,13.9,27.6,Y,N
2015-04-16,126937.93999999999,40.68150884637012,126937.93999999999,40.68150884637012,0.0,0.0,0.0,15.6,17.8,Y,N
